name	encoder	decoder	B	n	Q	seed
B12_n128_product_fixed_Q4_d0	product_fixed	d0	12	128	4	2104
B12_n128_product_fixed_Q4_d1	product_fixed	d1	12	128	4	2104
B12_n128_product_learned_Q4_d0	product_learned	d0	12	128	4	2105
B12_n128_product_learned_Q4_d1	product_learned	d1	12	128	4	2105
B12_n128_product_fixed_Q16_d0	product_fixed	d0	12	128	16	2116
B12_n128_product_fixed_Q16_d1	product_fixed	d1	12	128	16	2116
B12_n128_product_learned_Q16_d0	product_learned	d0	12	128	16	2117
B12_n128_product_learned_Q16_d1	product_learned	d1	12	128	16	2117
B12_n128_product_fixed_Q64_d0	product_fixed	d0	12	128	64	2164
B12_n128_product_fixed_Q64_d1	product_fixed	d1	12	128	64	2164
B12_n128_product_learned_Q64_d0	product_learned	d0	12	128	64	2165
B12_n128_product_learned_Q64_d1	product_learned	d1	12	128	64	2165
B12_n128_dense_fixed_d0	dense_fixed	d0	12	128	1	2180
B12_n128_dense_fixed_d1	dense_fixed	d1	12	128	1	2180
B12_n128_dense_learned_d0	dense_learned	d0	12	128	1	2181
B12_n128_dense_learned_d1	dense_learned	d1	12	128	1	2181
B12_n128_odma_fixed_d0	odma_fixed	d0	12	128	4	2182
B12_n128_odma_fixed_d1	odma_fixed	d1	12	128	4	2182
B12_n128_sparse_global_fixed_d0	sparse_global_fixed	d0	12	128	4	2183
B12_n128_sparse_global_fixed_d1	sparse_global_fixed	d1	12	128	4	2183
