name	encoder	decoder	B	n	Q	seed
B12_n256_product_fixed_Q4_d0	product_fixed	d0	12	256	4	2204
B12_n256_product_fixed_Q4_d1	product_fixed	d1	12	256	4	2204
B12_n256_product_learned_Q4_d0	product_learned	d0	12	256	4	2205
B12_n256_product_learned_Q4_d1	product_learned	d1	12	256	4	2205
B12_n256_product_fixed_Q16_d0	product_fixed	d0	12	256	16	2216
B12_n256_product_fixed_Q16_d1	product_fixed	d1	12	256	16	2216
B12_n256_product_learned_Q16_d0	product_learned	d0	12	256	16	2217
B12_n256_product_learned_Q16_d1	product_learned	d1	12	256	16	2217
B12_n256_product_fixed_Q64_d0	product_fixed	d0	12	256	64	2264
B12_n256_product_fixed_Q64_d1	product_fixed	d1	12	256	64	2264
B12_n256_product_learned_Q64_d0	product_learned	d0	12	256	64	2265
B12_n256_product_learned_Q64_d1	product_learned	d1	12	256	64	2265
B12_n256_dense_fixed_d0	dense_fixed	d0	12	256	1	2280
B12_n256_dense_fixed_d1	dense_fixed	d1	12	256	1	2280
B12_n256_dense_learned_d0	dense_learned	d0	12	256	1	2281
B12_n256_dense_learned_d1	dense_learned	d1	12	256	1	2281
B12_n256_odma_fixed_d0	odma_fixed	d0	12	256	4	2282
B12_n256_odma_fixed_d1	odma_fixed	d1	12	256	4	2282
B12_n256_sparse_global_fixed_d0	sparse_global_fixed	d0	12	256	4	2283
B12_n256_sparse_global_fixed_d1	sparse_global_fixed	d1	12	256	4	2283
B14_n128_product_fixed_Q4_d0	product_fixed	d0	14	128	4	2304
B14_n128_product_fixed_Q4_d1	product_fixed	d1	14	128	4	2304
B14_n128_product_learned_Q4_d0	product_learned	d0	14	128	4	2305
B14_n128_product_learned_Q4_d1	product_learned	d1	14	128	4	2305
B14_n128_product_fixed_Q16_d0	product_fixed	d0	14	128	16	2316
B14_n128_product_fixed_Q16_d1	product_fixed	d1	14	128	16	2316
B14_n128_product_learned_Q16_d0	product_learned	d0	14	128	16	2317
B14_n128_product_learned_Q16_d1	product_learned	d1	14	128	16	2317
B14_n128_product_fixed_Q64_d0	product_fixed	d0	14	128	64	2364
B14_n128_product_fixed_Q64_d1	product_fixed	d1	14	128	64	2364
B14_n128_product_learned_Q64_d0	product_learned	d0	14	128	64	2365
B14_n128_product_learned_Q64_d1	product_learned	d1	14	128	64	2365
B14_n128_dense_fixed_d0	dense_fixed	d0	14	128	1	2380
B14_n128_dense_fixed_d1	dense_fixed	d1	14	128	1	2380
B14_n128_dense_learned_d0	dense_learned	d0	14	128	1	2381
B14_n128_dense_learned_d1	dense_learned	d1	14	128	1	2381
B14_n128_odma_fixed_d0	odma_fixed	d0	14	128	4	2382
B14_n128_odma_fixed_d1	odma_fixed	d1	14	128	4	2382
B14_n128_sparse_global_fixed_d0	sparse_global_fixed	d0	14	128	4	2383
B14_n128_sparse_global_fixed_d1	sparse_global_fixed	d1	14	128	4	2383
B14_n256_product_fixed_Q4_d0	product_fixed	d0	14	256	4	2404
B14_n256_product_fixed_Q4_d1	product_fixed	d1	14	256	4	2404
B14_n256_product_learned_Q4_d0	product_learned	d0	14	256	4	2405
B14_n256_product_learned_Q4_d1	product_learned	d1	14	256	4	2405
B14_n256_product_fixed_Q16_d0	product_fixed	d0	14	256	16	2416
B14_n256_product_fixed_Q16_d1	product_fixed	d1	14	256	16	2416
B14_n256_product_learned_Q16_d0	product_learned	d0	14	256	16	2417
B14_n256_product_learned_Q16_d1	product_learned	d1	14	256	16	2417
B14_n256_product_fixed_Q64_d0	product_fixed	d0	14	256	64	2464
B14_n256_product_fixed_Q64_d1	product_fixed	d1	14	256	64	2464
B14_n256_product_learned_Q64_d0	product_learned	d0	14	256	64	2465
B14_n256_product_learned_Q64_d1	product_learned	d1	14	256	64	2465
B14_n256_dense_fixed_d0	dense_fixed	d0	14	256	1	2480
B14_n256_dense_fixed_d1	dense_fixed	d1	14	256	1	2480
B14_n256_dense_learned_d0	dense_learned	d0	14	256	1	2481
B14_n256_dense_learned_d1	dense_learned	d1	14	256	1	2481
B14_n256_odma_fixed_d0	odma_fixed	d0	14	256	4	2482
B14_n256_odma_fixed_d1	odma_fixed	d1	14	256	4	2482
B14_n256_sparse_global_fixed_d0	sparse_global_fixed	d0	14	256	4	2483
B14_n256_sparse_global_fixed_d1	sparse_global_fixed	d1	14	256	4	2483
