name	B	J	n	K	outer	parity	degree	energy	bank	learn	steps	warmup	batch	eval_batches	eval_ebn0	candidate	seed
B16_J2_tri_exact_learn_K2_s1	16	2	512	2	triadic	-	-	orthogonal_exact	explicit	1	500	300	32	8	2,6,10,14	none	2301
B16_J2_tri_exact_learn_K2_s2	16	2	512	2	triadic	-	-	orthogonal_exact	explicit	1	500	300	32	8	2,6,10,14	none	2302
B16_J4_tri_exact_learn_K2_s1	16	4	512	2	triadic	-	-	orthogonal_exact	explicit	1	500	300	32	8	2,6,10,14	none	2301
B16_J4_tri_exact_learn_K2_s2	16	4	512	2	triadic	-	-	orthogonal_exact	explicit	1	500	300	32	8	2,6,10,14	none	2302
B16_J8_rand_r2_d2_learn_K2_s1	16	8	512	2	random_sparse	2	2	orthogonal_exact	explicit	1	500	300	16	8	2,6,10,14	128	2301
B16_J8_rand_r2_d2_learn_K2_s2	16	8	512	2	random_sparse	2	2	orthogonal_exact	explicit	1	500	300	16	8	2,6,10,14	128	2302
B16_J4_tri_exact_fixed_K2_s1	16	4	512	2	triadic	-	-	orthogonal_exact	explicit	0	500	300	32	8	2,6,10,14	none	2301
B16_J4_tri_exact_fixed_K2_s2	16	4	512	2	triadic	-	-	orthogonal_exact	explicit	0	500	300	32	8	2,6,10,14	none	2302
B16_J4_tri_overlap_learn_K2_s1	16	4	512	2	triadic	-	-	overlapping_sampled	explicit	1	500	300	32	8	2,6,10,14	none	2301
B16_J4_tri_overlap_learn_K2_s2	16	4	512	2	triadic	-	-	overlapping_sampled	explicit	1	500	300	32	8	2,6,10,14	none	2302
B16_J4_rand_r2_d2_K2_s1	16	4	512	2	random_sparse	2	2	orthogonal_exact	explicit	1	500	300	32	8	2,6,10,14	none	2301
B16_J4_rand_r2_d2_K2_s2	16	4	512	2	random_sparse	2	2	orthogonal_exact	explicit	1	500	300	32	8	2,6,10,14	none	2302
B16_J4_rand_r4_d2_K2_s1	16	4	512	2	random_sparse	4	2	orthogonal_exact	explicit	1	500	300	32	8	2,6,10,14	none	2301
B16_J4_rand_r4_d2_K2_s2	16	4	512	2	random_sparse	4	2	orthogonal_exact	explicit	1	500	300	32	8	2,6,10,14	none	2302
B16_J4_rand_r4_d3_K2_s1	16	4	512	2	random_sparse	4	3	orthogonal_exact	explicit	1	500	300	32	8	2,6,10,14	none	2301
B16_J4_rand_r4_d3_K2_s2	16	4	512	2	random_sparse	4	3	orthogonal_exact	explicit	1	500	300	32	8	2,6,10,14	none	2302
B16_J4_rand_r4_d4_K2_s1	16	4	512	2	random_sparse	4	4	orthogonal_exact	explicit	1	500	300	32	8	2,6,10,14	none	2301
B16_J4_rand_r4_d4_K2_s2	16	4	512	2	random_sparse	4	4	orthogonal_exact	explicit	1	500	300	32	8	2,6,10,14	none	2302
B16_J4_rand_r6_d2_K2_s1	16	4	512	2	random_sparse	6	2	orthogonal_exact	explicit	1	500	300	32	8	2,6,10,14	none	2301
B16_J4_rand_r6_d2_K2_s2	16	4	512	2	random_sparse	6	2	orthogonal_exact	explicit	1	500	300	32	8	2,6,10,14	none	2302
B16_J4_rand_r6_d3_K2_s1	16	4	512	2	random_sparse	6	3	orthogonal_exact	explicit	1	500	300	32	8	2,6,10,14	none	2301
B16_J4_rand_r6_d3_K2_s2	16	4	512	2	random_sparse	6	3	orthogonal_exact	explicit	1	500	300	32	8	2,6,10,14	none	2302
B16_J4_tri_exact_learn_K4_s1	16	4	512	4	triadic	-	-	orthogonal_exact	explicit	1	500	300	32	8	2,6,10,14	none	2301
B16_J4_tri_exact_learn_K4_s2	16	4	512	4	triadic	-	-	orthogonal_exact	explicit	1	500	300	32	8	2,6,10,14	none	2302
B16_J4_rand_r4_d3_K4_s1	16	4	512	4	random_sparse	4	3	orthogonal_exact	explicit	1	500	300	32	8	2,6,10,14	none	2301
B16_J4_rand_r4_d3_K4_s2	16	4	512	4	random_sparse	4	3	orthogonal_exact	explicit	1	500	300	32	8	2,6,10,14	none	2302
