name	encoder	decoder	B	n	support	Q	seed
B12_n256_sparse_s256_d0_seed2701	sparse_global_fixed	d0	12	256	256	1	2701
B12_n256_sparse_s256_d1_seed2701	sparse_global_fixed	d1	12	256	256	1	2701
B12_n256_sparse_s256_d0_seed2702	sparse_global_fixed	d0	12	256	256	1	2702
B12_n256_sparse_s256_d1_seed2702	sparse_global_fixed	d1	12	256	256	1	2702
B12_n256_sparse_s192_d0_seed2701	sparse_global_fixed	d0	12	256	192	1	2701
B12_n256_sparse_s192_d1_seed2701	sparse_global_fixed	d1	12	256	192	1	2701
B12_n256_sparse_s192_d0_seed2702	sparse_global_fixed	d0	12	256	192	1	2702
B12_n256_sparse_s192_d1_seed2702	sparse_global_fixed	d1	12	256	192	1	2702
B12_n256_sparse_s128_d0_seed2701	sparse_global_fixed	d0	12	256	128	1	2701
B12_n256_sparse_s128_d1_seed2701	sparse_global_fixed	d1	12	256	128	1	2701
B12_n256_sparse_s128_d0_seed2702	sparse_global_fixed	d0	12	256	128	1	2702
B12_n256_sparse_s128_d1_seed2702	sparse_global_fixed	d1	12	256	128	1	2702
B12_n256_sparse_s96_d0_seed2701	sparse_global_fixed	d0	12	256	96	1	2701
B12_n256_sparse_s96_d1_seed2701	sparse_global_fixed	d1	12	256	96	1	2701
B12_n256_sparse_s96_d0_seed2702	sparse_global_fixed	d0	12	256	96	1	2702
B12_n256_sparse_s96_d1_seed2702	sparse_global_fixed	d1	12	256	96	1	2702
B12_n256_sparse_s64_d0_seed2701	sparse_global_fixed	d0	12	256	64	1	2701
B12_n256_sparse_s64_d1_seed2701	sparse_global_fixed	d1	12	256	64	1	2701
B12_n256_sparse_s64_d0_seed2702	sparse_global_fixed	d0	12	256	64	1	2702
B12_n256_sparse_s64_d1_seed2702	sparse_global_fixed	d1	12	256	64	1	2702
B12_n256_sparse_s48_d0_seed2701	sparse_global_fixed	d0	12	256	48	1	2701
B12_n256_sparse_s48_d1_seed2701	sparse_global_fixed	d1	12	256	48	1	2701
B12_n256_sparse_s48_d0_seed2702	sparse_global_fixed	d0	12	256	48	1	2702
B12_n256_sparse_s48_d1_seed2702	sparse_global_fixed	d1	12	256	48	1	2702
B12_n256_sparse_s32_d0_seed2701	sparse_global_fixed	d0	12	256	32	1	2701
B12_n256_sparse_s32_d1_seed2701	sparse_global_fixed	d1	12	256	32	1	2701
B12_n256_sparse_s32_d0_seed2702	sparse_global_fixed	d0	12	256	32	1	2702
B12_n256_sparse_s32_d1_seed2702	sparse_global_fixed	d1	12	256	32	1	2702
B12_n256_sparse_s24_d0_seed2701	sparse_global_fixed	d0	12	256	24	1	2701
B12_n256_sparse_s24_d1_seed2701	sparse_global_fixed	d1	12	256	24	1	2701
B12_n256_sparse_s24_d0_seed2702	sparse_global_fixed	d0	12	256	24	1	2702
B12_n256_sparse_s24_d1_seed2702	sparse_global_fixed	d1	12	256	24	1	2702
B12_n256_sparse_s16_d0_seed2701	sparse_global_fixed	d0	12	256	16	1	2701
B12_n256_sparse_s16_d1_seed2701	sparse_global_fixed	d1	12	256	16	1	2701
B12_n256_sparse_s16_d0_seed2702	sparse_global_fixed	d0	12	256	16	1	2702
B12_n256_sparse_s16_d1_seed2702	sparse_global_fixed	d1	12	256	16	1	2702
